Constituency_No,Dates_DATE_POLLING,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATION FILED_MEN,Candidates_Info_NOMINATION FILED_WOMEN,Candidates_Info_NOMINATION FILED_OTHERS,Candidates_Info_NOMINATION FILED_TOTAL,Candidates_Info_NOMINATION REJECTED_MEN,Candidates_Info_NOMINATION REJECTED_WOMEN,Candidates_Info_NOMINATION REJECTED_OTHERS,Candidates_Info_NOMINATION REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_OTHERS,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_OTHERS,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_OTHERS,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_OTHERS,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_OTHERS,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_OTHERS,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_OTHERS,Voters_Info_GENERAL_TOTAL,Voters_Info_PROXY_MEN,Voters_Info_PROXY_WOMEN,Voters_Info_PROXY_OTHERS,Voters_Info_PROXY_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_OTHERS,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_OTHERS,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_REJECTED VOTES_VALUE,Votes_Info_VOTES NOT RETREIVED FROM EVM_VALUE,Votes_Info_TOTAL VALID VOTES POLLED_VALUE,Votes_Info_TENDERED VOTES_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
11,03-Mar-2012,6-Mar-2012,6-Mar-2012,30,712,True,6,2,0,8,1,2,0,3,0,0,0,0,5,0,0,5,3,0,0,3,25,0,0.0,BJP,Manohar Parrikar,11086,INC,Yatin Parekh,5018,8,0,0.0,10404,10951,0,21355,0,0,0,0,10404,10951,0,21355,15,0,0.0,7853,8618,0,16471,0,0,0,0,368,0,0,0,16839,0,0,0,20,9,45.0,76.0,0,16763,0.0,8,0,0.0
12,03-Mar-2012,6-Mar-2012,6-Mar-2012,41,632,True,5,4,0,9,2,1,0,3,0,0,0,0,3,3,0,6,2,2,0,4,25,0,0.0,INC,Jennifer A. Monserrate,10682,BJP,Dattaprasad Madhukar Naik,9531,8,0,0.0,12855,13059,0,25914,2,0,0,2,12857,13059,0,25916,15,0,0.0,9962,10654,0,20616,0,0,0,0,420,0,0,0,21036,0,0,0,20,9,45.0,40.0,0,20996,0.0,8,0,0.0
13,03-Mar-2012,6-Mar-2012,6-Mar-2012,39,655,True,9,3,0,12,1,1,0,2,0,2,0,2,8,0,0,8,5,0,0,5,25,0,0.0,INC,Atanasio J. Monserrate,8644,IND,Rodolfo Louis Fernandes,6308,8,0,0.0,12627,12896,0,25523,1,0,0,1,12628,12896,0,25524,15,0,0.0,10030,10956,0,20986,0,0,0,0,435,0,0,0,21421,0,0,0,20,9,45.0,40.0,0,21381,2.0,8,0,0.0
14,03-Mar-2012,6-Mar-2012,6-Mar-2012,37,577,True,7,0,0,7,2,0,0,2,1,0,0,1,4,0,0,4,2,0,0,2,25,0,0.0,BJP,Vishnu Surya Naik Wagh,8818,INC,Francisco Silveira,7599,8,0,0.0,10284,11048,0,21332,4,2,0,6,10288,11050,0,21338,15,0,0.0,7779,9240,0,17019,0,0,0,0,209,0,0,0,17228,0,0,0,20,9,45.0,19.0,0,17209,2.0,8,0,0.0
15,03-Mar-2012,6-Mar-2012,6-Mar-2012,36,660,True,5,2,0,7,0,1,0,1,1,0,0,1,4,1,0,5,3,0,0,3,25,0,0.0,INC,Pandurang A. Madkaikar,9556,IND,Nirmala P. Sawant,7981,8,0,0.0,11649,12106,0,23755,1,1,0,2,11650,12107,0,23757,15,0,0.0,9074,10382,0,19456,0,0,0,0,390,0,0,0,19846,0,0,0,20,9,45.0,29.0,0,19817,0.0,8,0,0.0
16,03-Mar-2012,6-Mar-2012,6-Mar-2012,42,597,True,7,0,0,7,1,0,0,1,1,0,0,1,5,0,0,5,3,0,0,3,25,0,0.0,BJP,Anant Shet,12054,IND,Pravin Zantye,6335,8,0,0.0,12577,12502,0,25079,1,0,0,1,12578,12502,0,25080,15,0,0.0,10923,11176,0,22099,0,0,0,0,368,0,0,0,22467,0,0,0,20,9,45.0,56.0,0,22411,0.0,8,0,0.0
17,03-Mar-2012,6-Mar-2012,6-Mar-2012,46,523,True,3,2,0,5,0,2,0,2,1,0,0,1,2,0,0,2,0,0,0,0,25,0,0.0,BJP,Pramod  Sawant,14255,INC,Pratap Gauns,7337,8,0,0.0,12100,11964,0,24064,3,1,0,4,12103,11965,0,24068,15,0,0.0,10704,10590,0,21294,0,0,0,0,329,0,0,0,21623,0,0,0,20,9,45.0,31.0,0,21592,1.0,8,0,0.0
18,03-Mar-2012,6-Mar-2012,6-Mar-2012,52,535,True,3,1,0,4,1,1,0,2,0,0,0,0,2,0,0,2,0,0,0,0,25,0,0.0,INC,Pratapsingh  Raoji Rane,13772,BJP,Vishwajit Krishnarao Rane,11225,8,0,0.0,14083,13714,0,27797,19,4,0,23,14102,13718,0,27820,15,0,0.0,12248,12293,0,24541,0,0,0,0,579,0,0,0,25120,0,0,0,20,9,45.0,123.0,0,24997,0.0,8,0,0.0
19,03-Mar-2012,6-Mar-2012,6-Mar-2012,46,567,True,9,0,0,9,2,0,0,2,2,0,0,2,5,0,0,5,3,0,0,3,25,0,0.0,INC,Vishwajit Pratapsingh Rane,12412,BJP,Satyavijay Subrai Naik,9473,8,0,0.0,13163,12926,0,26089,5,0,0,5,13168,12926,0,26094,15,0,0.0,11302,11500,0,22802,0,0,0,0,421,0,0,0,23223,0,0,0,20,9,45.0,94.0,0,23129,0.0,8,0,0.0
20,03-Mar-2012,6-Mar-2012,6-Mar-2012,42,657,True,6,1,0,7,0,1,0,1,1,0,0,1,5,0,0,5,3,0,0,3,25,0,0.0,MAG,Pandurang Alias Deepak Dhavalikar,12264,IND,Govind Gaude,10164,8,0,0.0,13826,13761,0,27587,7,1,0,8,13833,13762,0,27595,15,0,0.0,12109,12178,0,24287,0,0,0,0,445,0,0,0,24732,0,0,0,20,9,45.0,64.0,0,24668,1.0,8,0,0.0
21,03-Mar-2012,6-Mar-2012,6-Mar-2012,43,665,True,8,1,0,9,0,1,0,1,1,0,0,1,7,0,0,7,5,0,0,5,25,0,0.0,MAG,Lavoo Mamledar,12662,INC,Ravi Naik,9472,8,0,0.0,14885,13695,0,28580,9,5,0,14,14894,13700,0,28594,15,0,0.0,11655,11215,0,22870,0,0,0,0,364,0,0,0,23234,0,0,0,20,9,45.0,4.0,0,23230,1.0,8,0,0.0
22,03-Mar-2012,6-Mar-2012,6-Mar-2012,42,620,True,5,1,0,6,1,0,0,1,0,0,0,0,4,1,0,5,2,1,0,3,25,0,0.0,BJP,Mahadev Narayan Naik,12216,INC,Subhash Ankush Shirodkar,9954,8,0,0.0,12780,13243,0,26023,4,3,0,7,12784,13246,0,26030,15,0,0.0,10873,11806,0,22679,0,0,0,0,306,0,0,0,22985,0,0,0,20,9,45.0,,0,22984,0.0,6,0,0.0
23,03-Mar-2012,6-Mar-2012,6-Mar-2012,40,629,True,3,0,0,3,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,25,0,0.0,MAG,Ramkrishna Alias Sudin Dhavalikar,14952,INC,Ritesh Naik,7722,8,0,0.0,12620,12526,0,25146,3,0,0,3,12623,12526,0,25149,15,0,0.0,10905,11216,0,22121,0,0,0,0,629,0,0,0,22750,0,0,0,20,9,45.0,76.0,0,22674,1.0,8,0,0.0
24,03-Mar-2012,6-Mar-2012,6-Mar-2012,29,702,True,8,2,0,10,1,1,0,2,0,1,0,1,7,0,0,7,5,0,0,5,25,0,0.0,BJP,Milind Sagun Naik,7419,INC,Sankalp Padmanabh Amonkar,6506,8,0,0.0,10615,9709,0,20324,19,5,0,24,10634,9714,0,20348,15,0,0.0,8189,7861,0,16050,0,0,0,0,210,0,0,0,16260,0,0,0,20,9,45.0,24.0,0,16236,,6,0,0.0
25,03-Mar-2012,6-Mar-2012,6-Mar-2012,38,748,True,14,1,0,15,1,1,0,2,2,0,0,2,11,0,0,11,9,0,0,9,25,0,0.0,BJP,Jose Luis Carlos Almeida,11468,NCP,Jose Filepe D'souza,6978,8,0,0.0,14503,13545,0,28048,227,136,0,363,14730,13681,0,28411,15,0,0.0,10915,10646,0,21561,0,0,0,0,204,0,0,0,21765,0,0,0,20,9,45.0,14.0,0,21751,,6,0,0.0
26,03-Mar-2012,6-Mar-2012,6-Mar-2012,26,762,True,5,1,0,6,1,1,0,2,0,0,0,0,4,0,0,4,2,0,0,2,25,0,0.0,INC,Mauvin Heliodoro Godinho,7468,MAG,Premanand Nanoskar,6524,8,0,0.0,9955,9672,0,19627,127,47,0,174,10082,9719,0,19801,15,0,0.0,7410,7697,0,15107,0,0,0,0,186,0,0,0,15293,0,0,0,20,9,45.0,19.0,0,15274,0.0,8,0,0.0
27,03-Mar-2012,6-Mar-2012,6-Mar-2012,35,762,True,7,1,0,8,2,0,0,2,1,0,0,1,4,1,0,5,2,0,0,2,25,0,0.0,BJP,Matanhy Saldanha,7427,GVP,Nelly Rodrigues,5158,8,0,0.0,13613,13039,0,26652,0,0,0,0,13613,13039,0,26652,15,0,0.0,10190,10718,0,20908,0,0,0,0,99,0,0,0,21007,0,0,0,20,9,45.0,2.0,583,20422,1.0,8,0,0.0
28,03-Mar-2012,6-Mar-2012,6-Mar-2012,39,707,True,6,2,0,8,0,2,0,2,0,0,0,0,6,0,0,6,4,0,0,4,25,0,0.0,GVP,Francisco Xavier Pacheco (Mickky),12288,INC,Aleixo Sequeira,8092,8,0,0.0,13161,14395,0,27556,1,0,0,1,13162,14395,0,27557,15,0,0.0,9280,12194,0,21474,0,0,0,0,138,0,0,0,21612,0,0,0,20,9,45.0,15.0,0,21597,0.0,8,0,0.0
29,03-Mar-2012,6-Mar-2012,6-Mar-2012,38,691,True,5,1,0,6,0,1,0,1,0,0,0,0,5,0,0,5,3,0,0,3,25,0,0.0,INC,Aleixo Reginaldo Lourenco,11221,IND,Domnic Gaonkar,7152,8,0,0.0,12848,13422,0,26270,1,0,0,1,12849,13422,0,26271,15,0,0.0,8862,10648,0,19510,0,0,0,0,146,0,0,0,19656,0,0,0,20,9,45.0,8.0,1,19647,2.0,8,0,0.0
30,03-Mar-2012,6-Mar-2012,6-Mar-2012,38,709,True,9,3,0,12,1,1,0,2,1,1,0,2,7,1,0,8,5,1,0,6,25,0,0.0,IND,Vijai Sardesai,10375,BJP,Damodar (Damu) G. Naik,8436,8,0,0.0,13139,13783,0,26922,3,0,0,3,13142,13783,0,26925,15,0,0.0,9858,11314,0,21172,0,0,0,0,303,0,0,0,21475,0,0,0,20,9,45.0,34.0,0,21441,3.0,8,0,0.0
31,03-Mar-2012,6-Mar-2012,6-Mar-2012,38,740,True,7,1,0,8,2,1,0,3,0,0,0,0,5,0,0,5,3,0,0,3,25,0,0.0,INC,Digambar Kamat,12041,BJP,Mahatme Rupesh,7589,8,0,0.0,13988,14110,0,28098,4,1,0,5,13992,14111,0,28103,15,0,0.0,10673,11269,0,21942,0,0,0,0,230,0,0,0,22172,0,0,0,20,9,45.0,23.0,0,22149,1.0,8,0,0.0
32,03-Mar-2012,6-Mar-2012,6-Mar-2012,39,723,True,9,1,0,10,1,0,0,1,2,0,0,2,6,1,0,7,5,0,0,5,25,0,0.0,GVP,Caetano R. Silva,9695,INC,Valanka Alemao,7694,8,0,0.0,13740,14433,0,28173,2,1,0,3,13742,14434,0,28176,15,0,0.0,9207,11840,0,21047,0,0,0,0,59,0,0,0,21106,0,0,0,20,9,45.0,9.0,0,21097,1.0,8,0,0.0
33,03-Mar-2012,6-Mar-2012,6-Mar-2012,35,683,True,6,0,0,6,1,0,0,1,1,0,0,1,4,0,0,4,2,0,0,2,25,0,0.0,IND,Avertano Furtado,10231,INC,Churchill Alemao,8086,8,0,0.0,11887,12011,0,23898,4,1,0,5,11891,12012,0,23903,15,0,0.0,8699,9973,0,18672,0,0,0,0,112,0,0,0,18784,0,0,0,20,9,45.0,4.0,0,18780,0.0,8,0,0.0
34,03-Mar-2012,6-Mar-2012,6-Mar-2012,42,637,True,9,0,0,9,1,0,0,1,0,0,0,0,8,0,0,8,5,0,0,5,25,0,0.0,BJP,Subhash Alias Rajan Kashinath Naik,7738,INC,Alemao Joaquim,6425,8,0,0.0,13051,13710,0,26761,2,1,0,3,13053,13711,0,26764,15,0,0.0,9169,11366,0,20535,0,0,0,0,216,0,0,0,20751,0,0,0,20,9,45.0,,0,20740,0.0,6,0,0.0
35,03-Mar-2012,6-Mar-2012,6-Mar-2012,44,667,True,4,1,0,5,0,1,0,1,0,0,0,0,4,0,0,4,2,0,0,2,25,0,0.0,IND,Benjamin Silva,13164,INC,Filipe Nery Rodrigues,8238,8,0,0.0,14202,15134,0,29336,0,0,0,0,14202,15134,0,29336,15,0,0.0,9210,12773,0,21983,0,0,0,0,159,0,0,0,22142,0,0,0,20,9,45.0,14.0,0,22128,0.0,8,0,0.0
36,03-Mar-2012,6-Mar-2012,6-Mar-2012,46,628,True,6,1,0,7,0,1,0,1,1,0,0,1,5,0,0,5,1,0,0,1,25,0,0.0,INC,Chandrakant Kavalekar,10994,IND,Prakash Shankar Velip,4621,8,0,0.0,14582,14316,0,28898,0,0,0,0,14582,14316,0,28898,15,0,0.0,11718,12787,0,24505,0,0,0,0,380,0,0,0,24885,0,0,0,20,9,45.0,24.0,0,24861,0.0,8,0,0.0
37,03-Mar-2012,6-Mar-2012,6-Mar-2012,41,575,True,4,0,0,4,1,0,0,1,1,0,0,1,2,0,0,2,0,0,0,0,25,0,0.0,BJP,Nilesh Cabral,14299,INC,Shyam Gopinath Satardekar,5507,8,0,0.0,11786,11791,0,23577,4,0,0,4,11790,11791,0,23581,15,0,0.0,9396,10168,0,19564,0,0,0,0,272,0,0,0,19836,0,0,0,20,9,45.0,30.0,0,19806,1.0,8,0,0.0
38,03-Mar-2012,6-Mar-2012,6-Mar-2012,44,598,True,6,2,0,8,0,1,0,1,1,1,0,2,5,0,0,5,3,0,0,3,25,0,0.0,BJP,Ganesh Chandru Gaonkar,10585,IND,Arjun Anil Salgaocar,8294,8,0,0.0,13012,13286,0,26298,6,1,0,7,13018,13287,0,26305,15,0,0.0,11410,11679,0,23089,0,0,0,0,272,0,0,0,23361,0,0,0,20,9,45.0,17.0,0,23344,0.0,8,0,0.0
39,03-Mar-2012,6-Mar-2012,6-Mar-2012,43,569,True,9,0,0,9,2,0,0,2,0,0,0,0,7,0,0,7,4,0,0,4,25,0,0.0,BJP,Subhash  U. Phal Dessai,7454,NCP,Alemao Yuri,6971,8,0,0.0,12040,12427,0,24467,0,0,0,0,12040,12427,0,24467,15,0,0.0,10270,10934,0,21204,0,0,0,0,307,0,0,0,21511,0,0,0,20,9,45.0,10.0,0,21501,1.0,8,0,0.0
40,03-Mar-2012,6-Mar-2012,6-Mar-2012,51,624,True,5,1,0,6,1,1,0,2,1,0,0,1,3,0,0,3,1,0,0,1,25,0,0.0,BJP,Ramesh Bombo Tawadkar,14328,INC,Isidore Aleixinho Fernandes,11624,8,0,0.0,15951,15865,0,31816,6,0,0,6,15957,15865,0,31822,15,0,0.0,12466,13730,0,26196,0,0,0,0,394,0,0,0,26590,0,0,0,20,9,45.0,,0,26589,0.0,6,0,0.0
