Constituency_No,Uncontested,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
15,False,16-11-1994,26,739,True,0,0,0,0,0,0,0,0,0,5,0,5,2,0,2,20,9,45.0,INC,BHATALE PANDURANG KRISHNA,5135,IND,RAUT PANDURANG DATTARAM,4817,8,0,0.0,9823,9393,19216,1,0,1,9824,9393,19217,12,0,0.0,7721,7008,14729,113,4,117,7834,7012,14846,12,0,0.0,14846,14522,324,0,0,10,1,10.0
16,False,16-11-1994,21,790,True,0,0,0,0,0,0,0,0,0,7,1,8,6,0,6,20,9,45.0,MAG,KAKODKAR SHASHIKALA GURUDATT,5634,IND,GHOPDEKAR MURARI SHAMBA,2370,8,0,0.0,8443,8138,16581,1,0,1,8444,8138,16582,12,0,0.0,6867,5846,12713,41,0,41,6908,5846,12754,12,0,0.0,12754,12494,260,0,0,10,1,10.0
17,False,16-11-1994,27,762,True,0,0,0,0,0,0,0,0,0,8,0,8,6,0,6,20,9,45.0,MAG,MALIK SADANAND UTTAM,8346,INC,USGAONKAR VINAYKUMAN PUNDALIK,3572,8,0,0.0,10627,9937,20564,3,0,3,10630,9937,20567,12,0,0.0,8008,6501,14509,53,2,55,8061,6503,14564,12,0,0.0,14564,14272,292,0,0,10,1,10.0
18,False,16-11-1994,29,624,True,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,20,9,45.0,INC,RANE PRATAPSINGH RAOJIRAO,7268,MAG,RANE KRISHNARAO APPASAHEB,5840,8,0,0.0,9200,8884,18084,1,0,1,9201,8884,18085,12,0,0.0,7627,6924,14551,88,0,88,7715,6924,14639,12,0,0.0,14639,14271,368,0,0,10,1,10.0
19,False,16-11-1994,21,682,True,0,0,0,0,0,0,0,0,0,7,0,7,5,0,5,20,9,45.0,BJP,HALDANKAR NARAHARI TUKARAM,4853,INC,PRABHU BALKRISHNA ALIAS (ASHOK )JAIRAM,3895,8,0,0.0,7221,7103,14324,0,0,0,7221,7103,14324,12,0,0.0,5892,5357,11249,93,1,94,5985,5358,11343,12,0,0.0,11343,11065,278,0,0,10,1,10.0
20,False,16-11-1994,34,744,True,0,0,0,0,0,0,0,0,0,6,1,7,4,0,4,20,9,45.0,MAG,VEREKAR SHIVDAS ATMARAM,6931,IND,AGUIAR JOILD JOAO,4953,8,0,0.0,13524,11754,25278,1,0,1,13525,11754,25279,12,0,0.0,8913,7578,16491,158,0,158,9071,7578,16649,12,0,0.0,16649,16355,294,0,0,10,1,10.0
21,False,16-11-1994,36,639,True,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,20,9,45.0,MAG,JALMI DR. KASHINATH GOVIND,7982,IND,VERENKAR MOHAN MAHADEV,6640,8,0,0.0,11721,11299,23020,1,0,1,11722,11299,23021,12,0,0.0,9447,8377,17824,116,0,116,9563,8377,17940,12,0,0.0,17940,17700,238,2,0,10,1,10.0
22,False,16-11-1994,31,709,True,0,0,0,0,0,0,0,0,0,4,1,5,2,1,3,20,9,45.0,BJP,NAIK SHRIPAD YESSO,9775,INC,NAIK RAVI SITARAM,7075,8,0,0.0,11187,10778,21965,1,0,1,11188,10778,21966,12,0,0.0,8951,8291,17242,157,0,157,9108,8291,17399,12,0,0.0,17399,17179,218,2,0,10,1,10.0
23,False,16-11-1994,32,661,True,0,0,0,0,0,0,0,0,0,8,0,8,5,0,5,20,9,45.0,INC,SHIRODKAR SUBHASH ANKUSH,6257,BJP,NAIK MANOHAR GOPAL,6154,8,0,0.0,10612,10539,21151,0,0,0,10612,10539,21151,12,0,0.0,8544,8194,16738,92,0,92,8636,8194,16830,12,0,0.0,16830,16621,209,0,0,10,1,10.0
24,False,16-11-1994,32,945,True,0,0,0,0,0,0,0,0,0,9,0,9,6,0,6,20,9,45.0,IND,VAZ JOHN MANUEL H.,7865,INC,SHAIKH HASSAN HAROON,5544,8,0,0.0,16202,14029,30231,3,1,4,16205,14030,30235,12,0,0.0,9914,8048,17962,80,0,80,9994,8048,18042,12,0,0.0,18042,17650,392,0,0,10,1,10.0
25,False,16-11-1994,28,997,True,0,0,0,0,0,0,0,0,0,10,0,10,7,0,7,20,9,45.0,MAG,MESOUITA MENEZES WILFRED M.,6460,INC,D'SOUZA SIMON PETER,4867,8,0,0.0,15072,12831,27903,13,5,18,15085,12836,27921,12,0,0.0,9370,7816,17186,51,0,51,9421,7816,17237,12,0,0.0,17237,16893,344,0,0,10,1,10.0
26,False,16-11-1994,31,790,True,0,0,0,0,0,0,0,0,0,8,0,8,6,0,6,20,9,45.0,INC,MAUVIN HELIODORO G.M.,6191,UGDP,BARBOSA LUIS PROTO ALEX,3132,8,0,0.0,12287,12173,24460,9,7,16,12296,12180,24476,12,0,0.0,8402,8332,16734,37,0,37,8439,8332,16771,12,0,0.0,16771,16504,267,0,0,10,1,10.0
27,False,16-11-1994,24,728,True,0,0,0,0,0,0,0,0,0,8,0,8,6,0,6,20,9,45.0,INC,ALEIXO SEQUEIRA,6846,UGDP,GRACIAS RADHARAO SOCRATES,5177,8,0,0.0,8468,9014,17482,2,0,2,8470,9014,17484,12,0,0.0,6086,6714,12800,34,2,36,6120,6716,12836,12,0,0.0,12836,12596,235,5,0,10,1,10.0
28,False,16-11-1994,28,677,True,0,0,0,0,0,0,0,0,0,6,0,6,4,0,4,20,9,45.0,UGDP,CHURCHIL BRAZ ALEMAO,8587,INC,MONTE CRUZ,4565,8,0,0.0,9241,9704,18945,0,0,0,9241,9704,18945,12,0,0.0,6466,7302,13768,26,8,34,6492,7310,13802,12,0,0.0,13802,13569,229,4,0,10,1,10.0
29,False,16-11-1994,28,780,True,0,0,0,0,0,0,0,0,0,12,0,12,10,0,10,20,9,45.0,INC,CARDOZ LUIS ALEIX,5504,IND,ANGLE RAMAKANT SOIRU,5154,8,0,0.0,10932,10914,21846,0,0,0,10932,10914,21846,12,0,0.0,7064,7032,14096,209,19,228,7273,7051,14324,12,0,0.0,14324,14056,266,2,0,10,1,10.0
30,False,16-11-1994,29,667,True,0,0,0,0,0,0,0,0,0,12,1,13,10,1,11,20,9,45.0,BJP,KAMAT DIGAMBAR VASANT,5009,INC,NAIK RAJU DAMODAR,2697,8,0,0.0,9959,9374,19333,0,0,0,9959,9374,19333,12,0,0.0,6398,6086,12484,66,4,70,6464,6090,12554,12,0,0.0,12554,12319,232,3,0,10,1,10.0
31,False,16-11-1994,27,719,True,0,0,0,0,0,0,0,0,0,7,0,7,5,0,5,20,9,45.0,UGDP,GAONKAR ANTONIO DAMIAO,6564,INC,SARDINHA COSMOFRANCISCO GAETANO,6470,8,0,0.0,9637,9770,19407,1,1,2,9638,9771,19409,12,0,0.0,6522,7268,13790,59,2,61,6581,7270,13851,12,0,0.0,13851,13630,220,1,0,10,1,10.0
32,False,16-11-1994,34,686,True,0,0,0,0,0,0,0,0,0,10,0,10,8,0,8,20,9,45.0,INC,LUIZINHO FALEIRO,8178,UGDP,PINTO NAZARIO JOSE,5296,8,0,0.0,11697,11617,23314,0,0,0,11697,11617,23314,12,0,0.0,7565,8390,15955,37,6,43,7602,8396,15998,12,0,0.0,15998,15733,265,0,0,10,1,10.0
33,False,16-11-1994,27,672,True,0,0,0,0,0,0,0,0,0,7,1,8,5,0,5,20,9,45.0,IND,FERNANDES MANU,5409,INC,GRACIAS FARREL ELVIS,2932,8,0,0.0,8695,9457,18152,0,0,0,8695,9457,18152,12,0,0.0,5019,6711,11730,28,4,32,5047,6715,11762,12,0,0.0,11762,11593,169,0,0,10,1,10.0
34,False,16-11-1994,31,646,True,0,0,0,0,0,0,0,0,0,9,0,9,6,0,6,20,9,45.0,UGDP,D'SOUZA ARECIO AGAPITO,5294,INC,SHANTARAM LAXMAN NAIK,2909,8,0,0.0,9790,10240,20030,1,1,2,9791,10241,20032,12,0,0.0,6175,7250,13425,53,14,67,6228,7264,13492,12,0,0.0,13492,13332,160,0,0,10,1,10.0
35,False,16-11-1994,33,682,True,0,0,0,0,0,0,0,0,0,8,0,8,6,0,6,20,9,45.0,MAG,PRABHU VISHNU GOPAL,7256,INC,MARATHE SADASHIV VAMAN,5580,8,0,0.0,11637,10882,22519,3,0,3,11640,10882,22522,12,0,0.0,8451,7594,16045,57,10,67,8508,7604,16112,12,0,0.0,16112,15835,277,0,0,10,1,10.0
36,False,16-11-1994,28,615,True,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,20,9,45.0,INC,NAIK PANDU VASU,5707,IND,PRABHU DESAI VIVEK KRISHNANATH,3051,8,0,0.0,8619,8593,17212,2,0,2,8621,8593,17214,12,0,0.0,6465,6256,12721,157,15,172,6622,6271,12893,12,0,0.0,12893,12689,204,0,0,10,1,10.0
37,False,16-11-1994,32,721,True,0,0,0,0,0,0,0,0,0,7,0,7,4,0,4,20,9,45.0,INC,DOMNIC FERNANDES,7989,SHS,ADV. DESSAI NARAYAN MAHADEV,3163,8,0,0.0,11819,11258,23077,1,0,1,11820,11258,23078,12,0,0.0,8152,7844,15996,157,29,186,8309,7873,16182,12,0,0.0,16182,15880,302,0,0,10,1,10.0
38,False,16-11-1994,33,661,True,0,0,0,0,0,0,0,0,0,6,0,6,4,0,4,20,9,45.0,MAG,PRAKASH SHANKAR VELIP,7579,IND,PEREIRA RAUL ROQUE,4335,8,0,0.0,10967,10832,21799,0,0,0,10967,10832,21799,12,0,0.0,8249,8158,16407,80,16,96,8329,8174,16503,12,0,0.0,16503,16077,426,0,0,10,1,10.0
39,False,16-11-1994,24,646,True,0,0,0,0,0,0,0,0,0,4,1,5,2,1,3,20,9,45.0,INC,BANDEKAR SANJAY VIMAL,6178,MAG,NAIK DESSAI CHANDRAKANT RAM ALIAS DR.,4881,8,0,0.0,7962,7539,15501,2,0,2,7964,7539,15503,12,0,0.0,5998,5763,11761,150,20,170,6148,5783,11931,12,0,0.0,11931,11749,182,0,0,10,1,10.0
40,False,16-11-1994,21,617,True,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,20,9,45.0,MAG,ACHARYA GOVIND RAGHUCHANDRA,4516,INC,GAONKAR VASU PAIK,3400,8,0,0.0,6453,6502,12955,0,0,0,6453,6502,12955,12,0,0.0,5210,5266,10476,48,15,63,5258,5281,10539,12,0,0.0,10539,10360,179,0,0,10,1,10.0
