Constituency_No,Dates_DATE_POLLING,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_NOMINATION REJECTED_MEN,Candidates_Info_NOMINATION REJECTED_WOMEN,Candidates_Info_NOMINATION REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_PROXY_MEN,Voters_Info_PROXY_WOMEN,Voters_Info_PROXY_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_REJECTED VOTES_VALUE,Votes_Info_VOTES NOT RETREIVED FROM EVM_VALUE,Votes_Info_TOTAL VALID VOTES POLLED_VALUE,Votes_Info_TENDERED VOTES_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
11,02-Jun-2007,5-Jun-2007,05-Jun-2007,25,1159,True,15,1,16,1,1,2,8,0,8,6,0,6,3,0,3,20,0,0.0,UGDP,MONSERRATE ATANASIO J.,9641,BJP,SILVEIRA AGNELO MARIANO,5619,8,0,0.0,14522,14465,28987,3,3,6,14525,14468,28993,12,0,0.0,9849,9367,19216,0,0,0,188,0,0,19404,0,0,16,6,37.5,31.0,0.0,19373,3,8,0,0.0
12,02-Jun-2007,5-Jun-2007,05-Jun-2007,29,1012,True,14,6,20,0,1,1,7,3,10,7,2,9,6,0,6,20,0,0.0,INC,FERNANDES VICTORIA,7385,BJP,HOBLE ANIL RAGHUVIR,6040,8,0,0.0,14708,14657,29365,2,1,3,14710,14658,29368,12,0,0.0,10283,9871,20154,0,0,0,198,0,0,20352,0,0,16,6,37.5,31.0,0.0,20321,5,8,0,0.0
13,02-Jun-2007,5-Jun-2007,05-Jun-2007,25,887,True,7,1,8,0,0,0,3,1,4,4,0,4,2,0,2,20,0,0.0,INC,SILVEIRA FRANCISCO,8593,BJP,CAIADO ANTONIO JOAO,6074,8,0,0.0,10866,11329,22195,1,1,2,10867,11330,22197,12,0,0.0,7410,7752,15162,0,0,0,91,0,0,15253,0,0,16,6,37.5,17.0,0.0,15236,2,8,0,0.0
14,02-Jun-2007,5-Jun-2007,05-Jun-2007,35,793,True,7,5,12,0,0,0,4,4,8,3,1,4,2,0,2,20,0,0.0,INC,MADKAIKAR PANDURANG ARJUN,10016,IND,SAWANT NIRMALA,9445,8,0,0.0,13712,14071,27783,1,1,2,13713,14072,27785,12,0,0.0,9869,10315,20184,0,0,0,161,0,0,20345,0,0,16,6,37.5,25.0,0.0,20320,1,8,0,0.0
15,02-Jun-2007,5-Jun-2007,05-Jun-2007,26,891,True,5,0,5,1,0,1,0,0,0,4,0,4,2,0,2,20,0,0.0,BJP,PATNEKAR RAJESH TULSIDAS,9352,INC,NARESH SAWAL,6657,8,0,0.0,11786,11387,23173,3,0,3,11789,11387,23176,12,0,0.0,9440,8750,18190,0,0,0,211,0,0,18401,0,0,16,6,37.5,33.0,0.0,18368,0,8,0,0.0
16,02-Jun-2007,5-Jun-2007,05-Jun-2007,21,911,True,6,0,6,2,0,2,0,0,0,4,0,4,1,0,1,20,0,0.0,BJP,ANANT V. SHET,5370,INC,ZANTYE PRAVIN,4890,8,0,0.0,9649,9487,19136,1,0,1,9650,9487,19137,12,0,0.0,7990,7622,15612,0,0,0,117,0,0,15729,0,0,16,6,37.5,21.0,0.0,15708,0,8,0,0.0
17,02-Jun-2007,5-Jun-2007,05-Jun-2007,26,906,True,9,0,9,3,0,3,0,0,0,6,0,6,3,0,3,20,0,0.0,INC,GURUDAS PRABHAKAR GAUNS,7768,BJP,AMONKAR SURESH KUSO,6177,8,0,0.0,11989,11566,23555,3,1,4,11992,11567,23559,12,0,0.0,9477,9010,18487,0,0,0,141,0,0,18628,0,0,16,6,37.5,30.0,0.0,18598,3,8,0,0.0
18,02-Jun-2007,5-Jun-2007,05-Jun-2007,30,775,True,4,0,4,1,0,1,0,0,0,3,0,3,1,0,1,20,0,0.0,INC,RANE PRATAPSINGH RAOJI,10605,BJP,VASSUDEO RAMNATH PARAB,6869,8,0,0.0,11752,11479,23231,16,4,20,11768,11483,23251,12,0,0.0,9307,8727,18034,0,0,0,212,0,0,18246,0,0,16,6,37.5,124.0,0.0,18122,2,8,0,0.0
19,02-Jun-2007,5-Jun-2007,05-Jun-2007,20,883,True,6,0,6,1,0,1,2,0,2,3,0,3,1,0,1,20,0,0.0,IND,RANE VISHWAJIT PRATAPSINGH,8590,BJP,GAONKAR PUTI,5041,8,0,0.0,8822,8840,17662,7,0,7,8829,8840,17669,12,0,0.0,7071,6876,13947,0,0,0,166,0,0,14113,0,0,16,6,37.5,,0.0,14002,2,6,0,0.0
20,02-Jun-2007,5-Jun-2007,05-Jun-2007,36,1029,True,7,0,7,3,0,3,0,0,0,4,0,4,1,0,1,20,0,0.0,INC,NAIK RAVI,9972,MAG,MAMLEDAR LAVOO,8316,8,0,0.0,19497,17558,37055,8,5,13,19505,17563,37068,12,0,0.0,12919,11441,24360,0,0,0,246,0,0,24606,0,0,16,6,37.5,49.0,0.0,24557,1,8,0,0.0
21,02-Jun-2007,5-Jun-2007,05-Jun-2007,28,951,True,8,0,8,1,0,1,0,0,0,7,0,7,5,0,5,20,0,0.0,MAG,DHAVALIKAR PANDURANG ALIAS DEEPAK,10591,BJP,SATARKAR VISHWAS,6266,8,0,0.0,13425,13203,26628,7,0,7,13432,13203,26635,12,0,0.0,10703,9917,20620,0,0,0,161,0,0,20781,0,0,16,6,37.5,28.0,0.0,20753,0,8,0,0.0
22,02-Jun-2007,5-Jun-2007,05-Jun-2007,28,883,True,7,0,7,2,0,2,0,0,0,5,0,5,3,0,3,20,0,0.0,MAG,DHAVALIKAR RAMKRISHNA ALIAS SUDIN,12141,INC,MADHAV GOVIND GAUDE,4532,8,0,0.0,12524,12223,24747,3,0,3,12527,12223,24750,12,0,0.0,9738,9311,19049,0,0,0,290,0,0,19339,0,0,16,6,37.5,160.0,0.0,19179,2,8,0,0.0
23,02-Jun-2007,5-Jun-2007,05-Jun-2007,31,831,True,6,0,6,2,0,2,1,0,1,3,0,3,1,0,1,20,0,0.0,BJP,MAHADEV NAIK,9725,INC,SHIRODKAR SUBHASH ANKUSH,9476,8,0,0.0,12801,12985,25786,3,2,5,12804,12987,25791,12,0,0.0,9925,9874,19799,0,0,0,165,0,0,19964,0,0,16,6,37.5,62.0,0.0,19902,1,8,0,0.0
24,02-Jun-2007,5-Jun-2007,05-Jun-2007,27,1070,True,8,1,9,0,0,0,0,1,1,8,0,8,6,0,6,20,0,0.0,BJP,NAIK MILIND SAGUN,7769,INC,VAZ GIOVANNI KARL,5363,8,0,0.0,15023,13880,28903,21,6,27,15044,13886,28930,12,0,0.0,9266,8304,17570,0,0,0,145,0,0,17715,0,0,16,6,37.5,37.0,0.0,17678,11,8,0,0.0
25,02-Jun-2007,5-Jun-2007,05-Jun-2007,27,1205,True,7,2,9,0,0,0,0,0,0,7,2,9,5,2,7,20,0,0.0,NCP,D SOUZA JOSE PHILIP,7476,BJP,ARLEKAR RAJENDRA VISHWANATH,6864,8,0,0.0,16676,15489,32165,226,150,376,16902,15639,32541,12,0,0.0,9936,9076,19012,0,0,0,109,0,0,19121,0,0,16,6,37.5,39.0,,19080,16,6,0,0.0
26,02-Jun-2007,5-Jun-2007,05-Jun-2007,34,1027,True,3,1,4,0,0,0,0,0,0,3,1,4,0,1,1,20,0,0.0,INC,MAUVIN HELIODORO GODINHO,9532,UGDP,MATHANY SALDANHA,7850,8,0,0.0,17729,17073,34802,103,42,145,17832,17115,34947,12,0,0.0,11079,11042,22121,0,0,0,82,0,0,22203,0,0,16,6,37.5,27.0,0.0,22176,2,8,0,0.0
27,02-Jun-2007,5-Jun-2007,05-Jun-2007,22,1028,True,6,1,7,1,1,2,2,0,2,3,0,3,0,0,0,20,0,0.0,INC,ALEIXO SEQEIRA,6435,SGF,FERNANDES PIEDADE REMEGIO (REMY),4894,8,0,0.0,10986,11637,22623,2,1,3,10988,11638,22626,12,0,0.0,6728,8093,14821,0,0,0,48,0,0,14869,0,0,16,6,37.5,6.0,0.0,14863,0,8,0,0.0
28,02-Jun-2007,5-Jun-2007,05-Jun-2007,24,977,True,5,0,5,0,0,0,2,0,2,3,0,3,1,0,1,20,0,0.0,NCP,PACHECO XAVIER FRANCISCO,8092,SGF,JOHN FERNANDES,7336,8,0,0.0,11427,12025,23452,1,0,1,11428,12025,23453,12,0,0.0,7085,8541,15626,0,0,0,52,0,0,15678,0,0,16,6,37.5,4.0,0.0,15674,0,8,0,0.0
29,02-Jun-2007,5-Jun-2007,05-Jun-2007,26,1255,True,7,2,9,1,1,2,1,0,1,5,1,6,3,0,3,20,0,0.0,BJP,DAMODAR (DAMU) G. NAIK,7943,INC,VIJAY SARDESSAI,6172,8,0,0.0,16008,16620,32628,2,0,2,16010,16620,32630,12,0,0.0,9562,10040,19602,0,0,0,232,0,0,19834,0,0,16,6,37.5,19.0,0.0,19815,6,8,0,0.0
30,02-Jun-2007,5-Jun-2007,05-Jun-2007,25,1125,True,8,0,8,2,0,2,1,0,1,5,0,5,3,0,3,20,0,0.0,INC,KAMAT DIGAMBAR,9198,BJP,SHARMAD RAITURKAR,7170,8,0,0.0,14250,13886,28136,4,1,5,14254,13887,28141,12,0,0.0,8771,8620,17391,0,0,0,89,0,0,17480,0,0,16,6,37.5,25.0,0.0,17455,9,8,0,0.0
31,02-Jun-2007,5-Jun-2007,05-Jun-2007,28,948,True,5,0,5,0,0,0,2,0,2,3,0,3,1,0,1,20,0,0.0,SGF,ALEIXO REGINALDO LOURENCO,9320,INC,SARDINHA COSME FRANCISCO CAITANO,7493,8,0,0.0,12971,13580,26551,1,0,1,12972,13580,26552,12,0,0.0,7986,9172,17158,0,0,0,75,0,0,17233,0,0,16,6,37.5,30.0,0.0,17203,0,8,0,0.0
32,02-Jun-2007,5-Jun-2007,05-Jun-2007,36,970,True,4,2,6,0,2,2,1,0,1,3,0,3,1,0,1,20,0,0.0,SGF,ALEMAO CHURCHILL,13500,INC,LUIZINHO FALEIRO,8996,8,0,0.0,17341,17601,34942,4,1,5,17345,17602,34947,12,0,0.0,10642,12288,22930,0,0,0,90,0,0,23020,0,0,16,6,37.5,27.0,0.0,22993,1,8,0,0.0
33,02-Jun-2007,5-Jun-2007,05-Jun-2007,23,887,True,2,1,3,0,1,1,0,0,0,2,0,2,0,0,0,20,0,0.0,INC,RODRIGUES FILIPE NERY,7965,SGF,SILVA BENJAMIN,5211,8,0,0.0,9825,10578,20403,1,1,2,9826,10579,20405,12,0,0.0,5481,7655,13136,0,0,0,47,0,0,13183,0,0,16,6,37.5,6.0,1.0,13176,3,8,0,0.0
34,02-Jun-2007,5-Jun-2007,05-Jun-2007,27,894,True,8,0,8,2,0,2,1,0,1,5,0,5,3,0,3,20,0,0.0,INC,ALEMAO JOAQUIM,8909,UGDP,FERNANDES JORSON PIEDADE,3408,8,0,0.0,11707,12442,24149,1,0,1,11708,12442,24150,12,0,0.0,6794,8343,15137,0,0,0,92,0,0,15229,0,0,16,6,37.5,29.0,1.0,15199,0,8,0,0.0
35,02-Jun-2007,5-Jun-2007,05-Jun-2007,32,798,True,16,1,17,9,1,10,1,0,1,6,0,6,4,0,4,20,0,0.0,IND,ANIL VASUDEV SALGAONKAR,10705,BJP,VINAY D. TENDULKAR,3782,8,0,0.0,12832,12714,25546,5,0,5,12837,12714,25551,12,0,0.0,9989,9579,19568,0,0,0,89,0,0,19657,0,0,16,6,37.5,23.0,0.0,19634,2,8,0,0.0
36,02-Jun-2007,5-Jun-2007,05-Jun-2007,27,728,True,12,1,13,8,1,9,0,0,0,4,0,4,2,0,2,20,0,0.0,BJP,GAONKAR VASUDEV MENG,7754,INC,MINGUELINO D'COSTA,5449,8,0,0.0,9673,10004,19677,0,0,0,9673,10004,19677,12,0,0.0,7149,7330,14479,0,0,0,137,0,0,14616,0,0,16,6,37.5,28.0,0.0,14588,0,8,0,0.0
37,02-Jun-2007,5-Jun-2007,05-Jun-2007,30,950,True,8,0,8,1,0,1,0,0,0,7,0,7,5,0,5,20,0,0.0,INC,SHYAM GOPINATH SATARDEKAR,10628,BJP,DESSAI RAMRAO GHANASHYAM,8729,8,0,0.0,14394,14122,28516,3,0,3,14397,14122,28519,12,0,0.0,9866,10015,19881,0,0,0,234,0,0,20115,0,0,16,6,37.5,60.0,0.0,20055,5,8,0,0.0
38,02-Jun-2007,5-Jun-2007,05-Jun-2007,34,828,True,8,0,8,2,0,2,1,0,1,5,0,5,3,0,3,20,0,0.0,INC,CHANDRAKANT (BABU) KAVALEKAR,9474,BJP,PRAKASH SHANKAR VELIP,8311,8,0,0.0,14109,14058,28167,0,0,0,14109,14058,28167,12,0,0.0,10590,10537,21127,0,0,0,193,0,0,21320,0,0,16,6,37.5,60.0,,21258,7,6,0,0.0
39,02-Jun-2007,5-Jun-2007,05-Jun-2007,24,836,True,9,0,9,3,0,3,2,0,2,4,0,4,2,0,2,20,0,0.0,BJP,PAI KHOT VIJAY,7577,INC,BANDEKAR SANJAY VIMAL,6868,8,0,0.0,10242,9825,20067,3,0,3,10245,9825,20070,12,0,0.0,7519,7478,14997,0,0,0,176,0,0,15173,0,0,16,6,37.5,19.0,0.0,15154,1,8,0,0.0
40,02-Jun-2007,5-Jun-2007,05-Jun-2007,21,743,True,8,0,8,4,0,4,2,0,2,2,0,2,0,0,0,20,0,0.0,BJP,TAWADKAR RAMESH,6158,INC,FERNANDES ISIDORE ALEIXINHO,5958,8,0,0.0,7858,7742,15600,3,1,4,7861,7743,15604,12,0,0.0,5865,6144,12009,0,0,0,118,0,0,12127,0,0,16,6,37.5,,0.0,12116,0,6,0,0.0
