Constituency_No,Uncontested,Dates_DATE_POLLING,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion
11,False,04-06-1999,06-06-1999,06-06-1999,24,1085,True,10,0,10,4,0,4,2,0,2,4,0,4,2,0,2,20,0,0.0,INC,JUWARKAR SOMANTH DATTA,8288.0,BJP,SALKAR SUBHASH TUKARAM,6461.0,8,0,0.0,13625,12426,26051,0,0,0,13625,12426,26051,12,0,0.0,8370,7294,15664,55,23,78,8425,7317,15742,12,0,0.0,15742,15724,18,0,14,10,0,0.0
12,False,04-06-1999,06-06-1999,06-06-1999,31,838,True,8,2,10,3,0,3,1,1,2,4,1,5,2,0,2,20,0,0.0,INC,FERNANDES VICTORIA ROMIO,8829.0,MAG,HOBLE ANIL RAGHUVIR,3442.0,8,0,0.0,13272,12691,25963,1,1,2,13273,12692,25965,12,0,0.0,9094,8249,17343,68,9,77,9162,8258,17420,12,0,0.0,17420,17388,32,0,8,10,0,0.0
13,False,04-06-1999,06-06-1999,06-06-1999,27,800,True,7,0,7,3,0,3,1,0,1,3,0,3,0,0,0,20,0,0.0,INC,SILVERIA FRANCIS MANUEL,7080.0,BJP,KAMAT DHAKANKAR AVINASH GOVIND,4376.0,8,0,0.0,10724,10869,21593,0,0,0,10724,10869,21593,12,0,0.0,7887,7657,15544,23,16,39,7910,7673,15583,12,0,0.0,15583,15562,21,0,9,10,0,0.0
14,False,04-06-1999,06-06-1999,06-06-1999,33,756,True,12,1,13,4,0,4,2,0,2,6,1,7,5,0,5,20,0,0.0,INC,NIRMALA PRABHAKAR SAWANT,6004.0,BJP,PARVATKAR GOVIND BHIKAJI,5154.0,8,0,0.0,12470,12465,24935,0,0,0,12470,12465,24935,12,0,0.0,8264,7854,16118,31,14,45,8295,7868,16163,12,0,0.0,16163,16148,15,0,1,10,0,0.0
15,False,04-06-1999,06-06-1999,06-06-1999,28,752,True,6,0,6,2,0,2,0,0,0,4,0,4,1,0,1,20,0,0.0,MAG,RAUT PANDURANG DATTARAM,5089.0,BJP,PATNEKAR RAJESH TULSHIDAS,4999.0,8,0,0.0,10933,10126,21059,1,0,1,10934,10126,21060,12,0,0.0,8158,7100,15258,126,20,146,8284,7120,15404,12,0,0.0,15404,15402,2,0,0,10,0,0.0
16,False,04-06-1999,06-06-1999,06-06-1999,21,824,True,8,1,9,2,0,2,1,0,1,5,1,6,3,0,3,20,0,0.0,BJP,FADTE PRAKASH JAGNNATH,3420.0,INC,CHOPDEKAR MURARI SAMBHA,2582.0,8,0,0.0,8783,8526,17309,1,0,1,8784,8526,17310,12,0,0.0,6779,5758,12537,44,9,53,6823,5767,12590,12,0,0.0,12590,12590,0,0,0,10,0,0.0
17,False,04-06-1999,06-06-1999,06-06-1999,27,835,True,7,0,7,3,0,3,0,0,0,4,0,4,1,0,1,20,0,0.0,BJP,AMONKAR SURESH KUSO,7156.0,INC,GAWAS GURUDAS PRABHAKAR,4805.0,8,0,0.0,11714,10821,22535,5,1,6,11719,10822,22541,12,0,0.0,8770,7258,16028,74,10,84,8844,7268,16112,12,0,0.0,16112,16112,0,0,0,10,0,0.0
18,False,04-06-1999,06-06-1999,06-06-1999,29,687,True,8,0,8,3,0,3,1,0,1,4,0,4,1,0,1,20,0,0.0,INC,RANE PRATAPSINGH RAOJI,7865.0,MAG,DESAI SANTOBA KRISHNARAO,3407.0,8,0,0.0,10247,9664,19911,1,0,1,10248,9664,19912,12,0,0.0,7896,6851,14747,73,39,112,7969,6890,14859,12,0,0.0,14859,14858,1,0,0,10,0,0.0
19,False,04-06-1999,06-06-1999,06-06-1999,21,736,True,11,0,11,2,0,2,3,0,3,6,0,6,3,0,3,20,0,0.0,INC,DESSAI VENKATESH ATMARAM,4177.0,BJP,HALDANKAR NARHARI TUKARAM,3323.0,8,0,0.0,7867,7582,15449,0,0,0,7867,7582,15449,12,0,0.0,5978,4924,10902,68,18,86,6046,4942,10988,12,0,0.0,10988,10988,0,0,0,10,0,0.0
20,False,04-06-1999,06-06-1999,06-06-1999,36,798,True,12,0,12,3,0,3,0,0,0,9,0,9,7,0,7,20,0,0.0,INC,NAIK RAVI SITARAM,9349.0,BJP,KHEDEKAR YESHWANT UTTAM,5313.0,8,0,0.0,15218,13512,28730,0,0,0,15218,13512,28730,12,0,0.0,10469,8591,19060,157,27,184,10626,8618,19244,12,0,0.0,19244,19190,54,0,4,10,0,0.0
21,False,04-06-1999,06-06-1999,06-06-1999,36,670,True,8,0,8,3,0,3,0,0,0,5,0,5,2,0,2,20,0,0.0,BJP,SATARKAR VISHWAS RAMNATH,6563.0,MAG,JALMI DR. KASHINATH GOVIND,4593.0,8,0,0.0,12345,11762,24107,0,0,0,12345,11762,24107,12,0,0.0,9547,7983,17530,92,8,100,9639,7991,17630,12,0,0.0,17630,17600,30,0,3,10,0,0.0
22,False,04-06-1999,06-06-1999,06-06-1999,31,733,True,6,0,6,3,0,3,0,0,0,3,0,3,0,0,0,20,0,0.0,MAG,DHAVALIKAR RAMKRISHNA ALIAS SUDIN MADHAV,6537.0,BJP,NAIK SHRIPAD YASSO,5843.0,12,3,25.0,11626,11110,22736,0,0,0,11626,11110,22736,12,0,0.0,8928,7773,16701,115,20,135,9043,7793,16836,12,0,0.0,16836,16789,47,0,1,10,0,0.0
23,False,04-06-1999,06-06-1999,06-06-1999,32,696,True,10,1,11,5,0,5,2,1,3,3,0,3,1,0,1,20,0,0.0,INC,SHIRODKAR SUBHASH ANKUSH,9548.0,BJP,NAIK MANOHAR GOPAL,6339.0,8,0,0.0,11088,11186,22274,1,0,1,11089,11186,22275,12,0,0.0,8722,8105,16827,64,7,71,8786,8112,16898,12,0,0.0,16898,16882,16,0,3,10,0,0.0
24,False,04-06-1999,06-06-1999,06-06-1999,33,920,True,9,2,11,1,0,1,1,0,1,7,2,9,6,1,7,20,0,0.0,INC,SHAIKH HASSAN HAROON,4721.0,BJP,KOCHAREKAR ARCHANA KISHOR,3698.0,8,0,0.0,16509,13854,30363,4,1,5,16513,13855,30368,12,0,0.0,9200,6665,15865,40,20,60,9240,6685,15925,12,0,0.0,15925,15921,4,0,0,10,0,0.0
25,False,04-06-1999,06-06-1999,06-06-1999,34,974,True,10,1,11,1,0,1,3,1,4,6,0,6,3,0,3,20,0,0.0,UGDP,D SOUZA JOSE PHILIPS DOMINGO,5691.0,BJP,ARLEKAR RAJENDRA VISHWANATH,4183.0,8,0,0.0,17894,15146,33040,49,38,87,17943,15184,33127,12,0,0.0,9562,7579,17141,40,10,50,9602,7589,17191,12,0,0.0,17191,17188,3,0,0,10,0,0.0
26,False,04-06-1999,06-06-1999,06-06-1999,33,855,True,7,1,8,1,0,1,2,0,2,4,1,5,2,1,3,20,0,0.0,INC,GODINHO MAUVIN HELIODORO,7230.0,UGDP,DOURADO HERCULANO T.,6129.0,8,0,0.0,14424,13778,28202,10,7,17,14434,13785,28219,12,0,0.0,8933,8652,17585,15,10,25,8948,8662,17610,12,0,0.0,17610,17609,1,0,0,10,0,0.0
27,True,-1,,,24,820,True,9,0,9,3,0,3,5,0,5,1,0,1,0,0,0,20,0,0.0,INC,ALEIXO SEQUEIRA,-1.0,,,,4,0,0.0,9698,9991,19689,1,0,1,9699,9991,19690,12,0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,0,0.0,-1,-1,-1,-1,-1,10,0,0.0
28,False,04-06-1999,06-06-1999,06-06-1999,28,756,True,7,0,7,2,0,2,0,0,0,5,0,5,3,0,3,20,0,0.0,INC,ALEMAO CHURCHIL BRAZ,8625.0,UGDP,RADHARAO SOCRATES GRACIAS,3788.0,8,0,0.0,10431,10739,21170,0,0,0,10431,10739,21170,12,0,0.0,6044,6842,12886,21,10,31,6065,6852,12917,12,0,0.0,12917,12912,5,0,36,10,0,0.0
29,False,04-06-1999,06-06-1999,06-06-1999,30,903,True,10,0,10,3,0,3,3,0,3,4,0,4,2,0,2,20,0,0.0,INC,CARDOZ LUIS ALEX FLORENCE,7164.0,BJP,ENG. ASHOK TUKARAM KORGAONKAR,4421.0,8,0,0.0,13640,13444,27084,0,0,0,13640,13444,27084,12,0,0.0,7599,7244,14843,152,19,171,7751,7263,15014,12,0,0.0,15014,14999,15,0,18,10,0,0.0
30,False,04-06-1999,06-06-1999,06-06-1999,29,845,True,7,0,7,1,0,1,1,0,1,5,0,5,3,0,3,20,0,0.0,BJP,KAMAT DIGAMBER VASANT,7549.0,INC,M. K. SHAIKH,4272.0,8,0,0.0,12608,11891,24499,1,0,1,12609,11891,24500,12,0,0.0,6961,5916,12877,37,6,43,6998,5922,12920,12,0,0.0,12920,12916,4,0,36,10,0,0.0
31,False,04-06-1999,06-06-1999,06-06-1999,27,814,True,8,0,8,1,0,1,4,0,4,3,0,3,2,0,2,20,0,0.0,INC,SARDINHA FRANCISCO CAITANO,10843.0,IND,GAUNKAR ANTONIO DAMIAO,1293.0,8,0,0.0,11173,10794,21967,0,0,0,11173,10794,21967,12,0,0.0,6395,6516,12911,38,15,53,6433,6531,12964,12,0,0.0,12964,12961,3,0,4,10,0,0.0
32,False,04-06-1999,06-06-1999,06-06-1999,37,767,True,9,0,9,2,0,2,2,0,2,5,0,5,4,0,4,20,0,0.0,INC,FALEIRO LUIZINHO,12054.0,BJP,SHEIKH JINA NABI,2293.0,8,0,0.0,14362,14003,28365,3,0,3,14365,14003,28368,12,0,0.0,7794,8147,15941,29,7,36,7823,8154,15977,12,0,0.0,15977,15970,7,0,8,10,0,0.0
33,False,04-06-1999,06-06-1999,06-06-1999,27,743,True,7,0,7,2,0,2,1,0,1,4,0,4,2,0,2,20,0,0.0,INC,FILPE NERI RODRIGUES,7829.0,GRCP,FERNANDES MANU JOSE G.,2557.0,8,0,0.0,9707,10345,20052,0,0,0,9707,10345,20052,12,0,0.0,5125,6754,11879,14,5,19,5139,6759,11898,12,0,0.0,11898,11892,6,0,1,10,0,0.0
34,False,04-06-1999,06-06-1999,06-06-1999,31,710,True,7,0,7,1,0,1,0,0,0,6,0,6,4,0,4,20,0,0.0,INC,ARECIO AGAPITO D SOUZA,5481.0,BJP,D SILVA JULIO TEODOMIRO,3267.0,8,0,0.0,10894,11128,22022,0,0,0,10894,11128,22022,12,0,0.0,5856,6571,12427,36,23,59,5892,6594,12486,12,0,0.0,12486,12476,10,0,4,10,0,0.0
35,False,04-06-1999,06-06-1999,06-06-1999,33,712,True,10,0,10,2,0,2,0,0,0,8,0,8,5,0,5,20,0,0.0,BJP,TENDULKAR VINAY DENU,4600.0,INC,GAONKAR GANESH CHANDRU,3924.0,8,0,0.0,12037,11457,23494,1,0,1,12038,11457,23495,12,0,0.0,8520,7151,15671,44,4,48,8564,7155,15719,12,0,0.0,15719,15713,6,0,1,10,0,0.0
36,False,04-06-1999,06-06-1999,06-06-1999,28,633,True,10,0,10,3,0,3,2,0,2,5,0,5,2,0,2,20,0,0.0,BJP,GAONKAR PRABHAKAR PANDURANG,3498.0,INC,DESSAI SATYAVAN BHADRU,2711.0,8,0,0.0,8834,8878,17712,0,0,0,8834,8878,17712,12,0,0.0,6247,5815,12062,108,10,118,6355,5825,12180,12,0,0.0,12180,12150,30,0,2,10,0,0.0
37,False,04-06-1999,06-06-1999,06-06-1999,32,766,True,8,0,8,3,0,3,0,0,0,5,0,5,3,0,3,20,0,0.0,BJP,ADV. DESSAI RAMRAO GHANASHAM,7640.0,INC,DOMNICK FERNANDES,7271.0,8,0,0.0,12383,12116,24499,0,0,0,12383,12116,24499,12,0,0.0,8293,7872,16165,129,30,159,8422,7902,16324,12,0,0.0,16324,16274,50,0,9,10,0,0.0
38,False,04-06-1999,06-06-1999,06-06-1999,33,701,True,8,0,8,2,0,2,2,0,2,4,0,4,1,0,1,20,0,0.0,MAG,PRAKASH S. VELIP,5648.0,INC,RAUL ROCKY PEREIRA,5509.0,8,0,0.0,11414,11729,23143,0,0,0,11414,11729,23143,12,0,0.0,8070,7293,15363,58,10,68,8128,7303,15431,12,0,0.0,15431,15422,9,0,9,10,0,0.0
39,False,04-06-1999,06-06-1999,06-06-1999,24,729,True,7,0,7,2,0,2,0,0,0,5,0,5,2,0,2,20,0,0.0,INC,BANDEKAR SANJAY VIMAL,4849.0,BJP,PAI KHOT VIJAY ANANDRAO,4678.0,8,0,0.0,8944,8550,17494,2,0,2,8946,8550,17496,12,0,0.0,6995,5825,12820,143,32,175,7138,5857,12995,12,0,0.0,12995,12976,19,0,2,10,0,0.0
40,False,04-06-1999,06-06-1999,06-06-1999,21,673,True,7,0,7,2,0,2,1,0,1,4,0,4,1,0,1,20,0,0.0,IND,FERNANDES ISIDORE DIGO,4860.0,MAG,ACHARYA GOVIND RAGHUCHANDRA,3201.0,8,0,0.0,7126,7007,14133,1,0,1,7127,7007,14134,12,0,0.0,5368,5349,10717,70,13,83,5438,5362,10800,12,0,0.0,10800,10791,9,0,5,10,0,0.0
