Constituency_No,Dates_DATE_POLLING,Polling_Stations_Number,Polling_Stations_Average_Electors_per_Station,Polling_Stations_regex_Match,Candidates_Info_NOMINATED_MEN,Candidates_Info_NOMINATED_WOMEN,Candidates_Info_NOMINATED_TOTAL,Candidates_Info_REJECTED_MEN,Candidates_Info_REJECTED_WOMEN,Candidates_Info_REJECTED_TOTAL,Candidates_Info_WITHDRAWN_MEN,Candidates_Info_WITHDRAWN_WOMEN,Candidates_Info_WITHDRAWN_TOTAL,Candidates_Info_CONTESTED_MEN,Candidates_Info_CONTESTED_WOMEN,Candidates_Info_CONTESTED_TOTAL,Candidates_Info_FORFEITED DEPOSIT_MEN,Candidates_Info_FORFEITED DEPOSIT_WOMEN,Candidates_Info_FORFEITED DEPOSIT_TOTAL,Completeness_Candidates_Info_Total_Cells,Completeness_Candidates_Info_NA_Cells,Completeness_Candidates_Info_NA_Proportion,Result_WINNER_PARTY,Result_WINNER_CANDIDATE,Result_WINNER_VOTES,Result_RUNNER-UP_PARTY,Result_RUNNER-UP_CANDIDATE,Result_RUNNER-UP_VOTES,Completeness_Result_Total_Cells,Completeness_Result_NA_Cells,Completeness_Result_NA_Proportion,Electors_Info_GENERAL_MEN,Electors_Info_GENERAL_WOMEN,Electors_Info_GENERAL_TOTAL,Electors_Info_SERVICE_MEN,Electors_Info_SERVICE_WOMEN,Electors_Info_SERVICE_TOTAL,Electors_Info_TOTAL_MEN,Electors_Info_TOTAL_WOMEN,Electors_Info_TOTAL_TOTAL,Completeness_Electors_Info_Total_Cells,Completeness_Electors_Info_NA_Cells,Completeness_Electors_Info_NA_Proportion,Voters_Info_GENERAL_MEN,Voters_Info_GENERAL_WOMEN,Voters_Info_GENERAL_TOTAL,Voters_Info_POSTAL_MEN,Voters_Info_POSTAL_WOMEN,Voters_Info_POSTAL_TOTAL,Voters_Info_TOTAL_MEN,Voters_Info_TOTAL_WOMEN,Voters_Info_TOTAL_TOTAL,Completeness_Voters_Info_Total_Cells,Completeness_Voters_Info_NA_Cells,Completeness_Voters_Info_NA_Proportion,Votes_Info_POLLED_VALUE,Votes_Info_VALID_VALUE,Votes_Info_REJECTED_VALUE,Votes_Info_MISSING_VALUE,Votes_Info_TENDERED_VALUE,Completeness_Votes_Info_Total_Cells,Completeness_Votes_Info_NA_Cells,Completeness_Votes_Info_NA_Proportion,Year,Election_Type,Dates_DATE_COUNTING,Dates_DATE_DECLARATION OF RESULT,Voters_Info_PROXY_MEN,Voters_Info_PROXY_WOMEN,Voters_Info_PROXY_TOTAL,Votes_Info_VOTES NOT RETREIVED FROM EVM_VALUE,Candidates_Info_NOMINATION FILED_OTHERS,Candidates_Info_NOMINATION REJECTED_OTHERS,Candidates_Info_WITHDRAWN_OTHERS,Candidates_Info_CONTESTED_OTHERS,Candidates_Info_FORFEITED DEPOSIT_OTHERS,Electors_Info_GENERAL_OTHERS,Electors_Info_SERVICE_OTHERS,Electors_Info_TOTAL_OTHERS,Voters_Info_GENERAL_OTHERS,Voters_Info_PROXY_OTHERS,Voters_Info_POSTAL_OTHERS,Voters_Info_TOTAL_OTHERS,Votes_Info_VOTES NOT RETREIVED_VALUE
11,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,Y . S . DESAI,3846.0,MAG,T . M . UPENDRA,3776.0,8,0,0.0,13494,0,13494,0,0,0,13494,0,13494,12,3,25.0,9291,0,9291,0,0,0,9291,0,9291,12,0,0.0,9291.0,9037.0,254.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
12,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,S . J . DE,7087.0,UGF,J . L . C . ARAUJO,4045.0,8,0,0.0,15290,0,15290,0,0,0,15290,0,15290,12,3,25.0,12133,0,12133,0,0,0,12133,0,12133,12,0,0.0,12133.0,11823.0,310.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
13,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,P . T . FRANCISCO,5656.0,MAG,M . A . SANTANA,3466.0,8,0,0.0,13716,0,13716,0,0,0,13716,0,13716,12,3,25.0,10149,0,10149,0,0,0,10149,0,10149,12,0,0.0,10149.0,9841.0,308.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
15,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,B . D . BALKRISHNA,7800.0,UGS,K . T . PUNDLIK,423.0,8,0,0.0,11867,0,11867,0,0,0,11867,0,11867,12,3,25.0,8727,0,8727,0,0,0,8727,0,8727,12,0,0.0,8727.0,8442.0,285.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
16,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,K . S . GURUDATT,7144.0,UGS,K .S . DATTATRAY,1567.0,8,0,0.0,13606,0,13606,0,0,0,13606,0,13606,12,3,25.0,9593,0,9593,0,0,0,9593,0,9593,12,0,0.0,9593.0,9319.0,274.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
14,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,B . P . SHRINIVAS,5296.0,UGS,J . T . TIMOTIO,3355.0,8,0,0.0,14401,0,14401,0,0,0,14401,0,14401,12,3,25.0,10028,0,10028,0,0,0,10028,0,10028,12,0,0.0,10028.0,9687.0,341.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
18,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,M . V . DATTA,4646.0,UGS,S . H . A . LATHIF,2785.0,8,0,0.0,12616,0,12616,0,0,0,12616,0,12616,12,3,25.0,8144,0,8144,0,0,0,8144,0,8144,12,0,0.0,8144.0,7894.0,250.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
30,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,F . N . SRINIVASSA,1552.0,IND,A . R . HADMAT,1501.0,8,0,0.0,9913,0,9913,0,0,0,9913,0,9913,12,3,25.0,6883,0,6883,0,0,0,6883,0,6883,12,0,0.0,6883.0,6575.0,308.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
29,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,IND,M . M . BHATHALA,2775.0,UGS,B . O . PANDYA,2544.0,8,0,0.0,15530,0,15530,0,0,0,15530,0,15530,12,3,25.0,9704,0,9704,0,0,0,9704,0,9704,12,0,0.0,9704.0,9414.0,290.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
28,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,G . PATIL,5570.0,UGS,M . R . MANUEL,3932.0,8,0,0.0,22253,0,22253,0,0,0,22253,0,22253,12,3,25.0,12586,0,12586,0,0,0,12586,0,12586,12,0,0.0,12586.0,12081.0,505.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
27,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,L . P . BARBOSA,6977.0,IND,L . C . CARVALHO,1662.0,8,0,0.0,13915,0,13915,0,0,0,13915,0,13915,12,3,25.0,9257,0,9257,0,0,0,9257,0,9257,12,0,0.0,9257.0,9058.0,199.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
26,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,B . R . JOAQUIM,8778.0,IND,C . A . M . JOSE,556.0,8,0,0.0,16990,0,16990,0,0,0,16990,0,16990,12,3,25.0,10427,0,10427,0,0,0,10427,0,10427,12,0,0.0,10427.0,10161.0,266.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
17,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,K . V . SUBRAI,4571.0,UGS,J . F . S . FERNANDES,1294.0,8,0,0.0,14554,0,14554,0,0,0,14554,0,14554,12,3,25.0,9121,0,9121,0,0,0,9121,0,9121,12,0,0.0,9121.0,8624.0,497.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
24,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,V . L . MAURICIO,6546.0,MAG,D . P . SANTANO,2831.0,8,0,0.0,17715,0,17715,0,0,0,17715,0,17715,12,3,25.0,11328,0,11328,0,0,0,11328,0,11328,12,0,0.0,11328.0,11001.0,327.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
25,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,N . A . NARCINVA,4905.0,MAG,S . V . PURSHOTAM,2832.0,8,0,0.0,13185,0,13185,0,0,0,13185,0,13185,12,3,25.0,8663,0,8663,0,0,0,8663,0,8663,12,0,0.0,8663.0,8473.0,190.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
22,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,F . R . S . A . JOAO,3774.0,MAG,K . M . JAIWANT,1720.0,8,0,0.0,13952,0,13952,0,0,0,13952,0,13952,12,3,25.0,8950,0,8950,0,0,0,8950,0,8950,12,0,0.0,8950.0,8652.0,298.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
21,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,A . RAZAK,3657.0,MAG,N . X . G . DESAI,3519.0,8,0,0.0,13115,0,13115,0,0,0,13115,0,13115,12,3,25.0,8903,0,8903,0,0,0,8903,0,8903,12,0,0.0,8903.0,8536.0,367.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
20,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,S . K . DESAI,2955.0,UGS,D . S . YESHVANT,1734.0,8,0,0.0,10086,0,10086,0,0,0,10086,0,10086,12,3,25.0,6927,0,6927,0,0,0,6927,0,6927,12,0,0.0,6927.0,6657.0,270.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
19,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,MAG,N . G . M . BALKRISHNA,5126.0,UGS,M . R . DESAI,2141.0,8,0,0.0,13146,0,13146,0,0,0,13146,0,13146,12,3,25.0,9190,0,9190,0,0,0,9190,0,9190,12,0,0.0,9190.0,8696.0,494.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
23,21-02-1967,-1,-1,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,20,15,75.0,UGS,M . E . JOSE,6528.0,IND,C . F . CLODOMIRO,1008.0,8,0,0.0,14006,0,14006,0,0,0,14006,0,14006,12,3,25.0,8986,0,8986,0,0,0,8986,0,8986,12,0,0.0,8986.0,8759.0,227.0,0.0,0.0,10,0,0.0,1967,AE,,,,,,,,,,,,,,,,,,,
12,11-03-1972,-1,-1,False,7.0,0.0,7.0,1.0,0.0,1.0,3,0,3,3,0,3,1,0,1,20,0,0.0,UGS,SEQUEIRA JACK DF ERASMO,6586.0,IND,FERNANDES M. F. DIOGO,4483.0,8,0,0.0,8126,8404,16530,0,0,0,8126,8404,16530,12,0,0.0,5780,5884,11664,0,0,0,5780,5884,11664,12,0,0.0,11664.0,11452.0,212.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
8,11-03-1972,-1,-1,False,7.0,1.0,8.0,1.0,0.0,1.0,1,0,1,5,1,6,4,0,4,20,0,0.0,MAG,K. S. GURUDUTTA,6589.0,INC,S. RAMESH NARAYAN,2393.0,8,0,0.0,6394,6189,12583,0,0,0,6394,6189,12583,12,0,0.0,5315,4916,10231,0,0,0,5315,4916,10231,12,0,0.0,10231.0,10072.0,159.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
11,11-03-1972,-1,-1,False,5.0,0.0,5.0,0.0,0.0,0.0,2,0,2,3,0,3,0,0,0,20,0,0.0,MAG,NAIK BABANA,3983.0,UGS,DESAI YESHWANT SITARAM,3758.0,8,0,0.0,7035,6740,13775,0,0,0,7035,6740,13775,12,0,0.0,5315,4124,9439,0,0,0,5315,4124,9439,12,0,0.0,9439.0,9321.0,118.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
10,11-03-1972,-1,-1,False,8.0,0.0,8.0,0.0,0.0,0.0,1,0,1,7,0,7,5,0,5,20,0,0.0,MAG,R. S. P. RAOJI,5005.0,SOP,RANE JAISINGRAO VENKATRAO,2322.0,8,0,0.0,7015,7272,14287,0,0,0,7015,7272,14287,12,0,0.0,5539,4655,10194,0,0,0,5539,4655,10194,12,0,0.0,10194.0,9660.0,534.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
9,11-03-1972,-1,-1,False,7.0,0.0,7.0,0.0,0.0,0.0,3,0,3,4,0,4,2,0,2,20,0,0.0,MAG,S. U. A. KASHINATH,4885.0,INC,S. U. PRABHAKAR KRISHNA,2706.0,8,0,0.0,6652,6258,12910,0,0,0,6652,6258,12910,12,0,0.0,5409,4381,9790,0,0,0,5409,4381,9790,12,0,0.0,9790.0,9543.0,247.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
7,11-03-1972,-1,-1,False,7.0,0.0,7.0,0.0,0.0,0.0,3,0,3,4,0,4,2,0,2,20,0,0.0,MAG,ACHREKAR PUNAJI PANDURANG,5390.0,INC,GOPAL GOVIND MAYEKAR,2361.0,8,0,0.0,6199,6864,13063,0,0,0,6199,6864,13063,12,0,0.0,4653,4980,9633,0,0,0,4653,4980,9633,12,0,0.0,9633.0,9350.0,283.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
25,11-03-1972,-1,-1,False,13.0,0.0,13.0,0.0,0.0,0.0,7,0,7,6,0,6,4,0,4,20,0,0.0,UGS,ANANTA NARCINVA NAIK,4859.0,MAG,VIRGINKAR GOPAL NARAINA,2469.0,8,0,0.0,6834,6890,13724,0,0,0,6834,6890,13724,12,0,0.0,4585,4554,9139,0,0,0,4585,4554,9139,12,0,0.0,9139.0,8990.0,149.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
5,11-03-1972,-1,-1,False,5.0,0.0,5.0,0.0,0.0,0.0,2,0,2,3,0,3,1,0,1,20,0,0.0,UGS,SOUSA SILVERIO JOSE,5733.0,IND,SILVER ANACLETO MARIAND,1953.0,8,0,0.0,8526,6867,15393,0,0,0,8526,6867,15393,12,0,0.0,3979,5229,9208,0,0,0,3979,5229,9208,12,0,0.0,9208.0,8950.0,258.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
4,11-03-1972,-1,-1,False,6.0,0.0,6.0,0.0,0.0,0.0,3,0,3,3,0,3,1,0,1,20,0,0.0,UGS,JAGDISH BHUJANG RAO,6032.0,MAG,D. CRUZ ANTHONY MANUEL,5425.0,8,0,0.0,7195,8922,16117,0,0,0,7195,8922,16117,12,0,0.0,5400,6630,12030,0,0,0,5400,6630,12030,12,0,0.0,12030.0,11823.0,207.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
3,11-03-1972,-1,-1,False,8.0,0.0,8.0,0.0,0.0,0.0,3,0,3,5,0,5,3,0,3,20,0,0.0,MAG,C. CHANDRAKANT UTTOM,5638.0,UGS,S. SOUZAW  A. TITO FERMINA,4789.0,8,0,0.0,6436,8082,14518,0,0,0,6436,8082,14518,12,0,0.0,5090,6047,11137,0,0,0,5090,6047,11137,12,0,0.0,11137.0,10975.0,162.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
2,11-03-1972,-1,-1,False,8.0,0.0,8.0,0.0,0.0,0.0,4,0,4,4,0,4,2,0,2,20,0,0.0,MAG,B. B. BALKRISHNA,8254.0,INC,KAMULKAR VIJAY MARUTI,2006.0,8,0,0.0,7543,8338,15881,0,0,0,7543,8338,15881,12,0,0.0,5790,5797,11587,0,0,0,5790,5797,11587,12,0,0.0,11587.0,11318.0,269.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
1,11-03-1972,-1,-1,False,13.0,0.0,13.0,0.0,0.0,0.0,6,0,6,7,0,7,5,0,5,20,0,0.0,MAG,RANE JAISINGRAO ABASAHEB,5477.0,INC,DESHPRABHU  RAGHUNATHRAO,2828.0,8,0,0.0,5826,6523,12349,0,0,0,5826,6523,12349,12,0,0.0,4430,4676,9106,0,0,0,4430,4676,9106,12,0,0.0,9106.0,8883.0,223.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
13,11-03-1972,-1,-1,False,6.0,0.0,6.0,0.0,0.0,0.0,2,0,2,4,0,4,2,0,2,20,0,0.0,UGS,P. T. FRANCISCO PAULO,5335.0,MAG,MELO AGOSTTINHO SANTANA,3969.0,8,0,0.0,7059,7574,14633,0,0,0,7059,7574,14633,12,0,0.0,5046,5754,10800,0,0,0,5046,5754,10800,12,0,0.0,10800.0,10577.0,223.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
6,11-03-1972,-1,-1,False,8.0,0.0,8.0,0.0,0.0,0.0,3,0,3,5,0,5,3,0,3,20,0,0.0,MAG,PANKAR RAGHUVIR SHANU,5718.0,UGS,N. S. PANDURANG,3532.0,8,0,0.0,8047,7770,15817,0,0,0,8047,7770,15817,12,0,0.0,5922,5934,11856,0,0,0,5922,5934,11856,12,0,0.0,11856.0,11676.0,180.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
14,11-03-1972,-1,-1,False,8.0,0.0,8.0,0.0,0.0,0.0,3,0,3,5,0,5,3,0,3,20,0,0.0,MAG,CHODANKAR VINAYAK DHARMA,5956.0,UGS,P. P. DESAI SHRIKANT GOVIND,3530.0,8,0,0.0,6916,8205,15121,0,0,0,6916,8205,15121,12,0,0.0,5270,5911,11181,0,0,0,5270,5911,11181,12,0,0.0,11181.0,10930.0,251.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
16,11-03-1972,-1,-1,False,9.0,0.0,9.0,0.0,0.0,0.0,3,0,3,6,0,6,4,0,4,20,0,0.0,MAG,R. DASS H NAIK,6052.0,NMG,VISHWANATH YESHWANT NAIK,2259.0,8,0,0.0,7113,7028,14141,0,0,0,7113,7028,14141,12,0,0.0,5567,4997,10564,0,0,0,5567,4997,10564,12,0,0.0,10564.0,10380.0,184.0,0.0,0.0,10,0,0.0,1972,AE,,,,,,,,,,,,,,,,,,,
